CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8,Ave Joelle week 0,Ave Joelle week 1,Ave Joelle week 2,Ave Joelle week 4,Ave Joelle week 6,Ave Joelle week 8
Csa08g054900,4.901012162,7.13261619,4.390690217,4.325267529,4.45906157,4.786378013,6.061958316,4.287546859,3.508018125,2.89847887,3.313636152,2.641342926
Csa08g055010,3.580366401,5.924226484,3.319765716,3.12206434,5.145566235,4.273599057,0.033424839,0.094839903,0.001,0.001,0.001,0.001
Csa08g055200,7.639996606,14.2086001,12.13679673,12.98491288,8.477157861,14.28413564,5.985894977,24.05530468,36.75449023,35.9401374,25.9873683,24.27121393
Csa08g055330,2.521494494,2.85669449,2.055138835,3.242694853,2.893778928,3.143533495,2.271856932,3.426452347,4.011148132,3.240928295,3.576613539,3.105245034
Csa08g055380,1.982287709,3.745218226,2.81394272,1.046542368,1.498102294,1.776978728,1.046535569,2.186561096,1.647102806,1.295825199,1.087275104,1.915573187
Csa08g055430,28.82281243,49.373239,39.60701791,42.35999485,37.6177516,58.00784281,12.25945516,11.07537032,7.331579665,9.196091374,7.986841855,7.739781136
Csa08g055440,19.73180927,10.74676626,12.85454416,15.51730976,15.76171851,16.21964864,14.78407999,6.683272611,7.727385423,8.885507617,8.343671482,8.274141617
Csa08g055530,2.594780026,1.483824768,3.45553418,2.278814491,2.131604218,2.072338121,2.252744719,1.374641462,1.34775914,1.805411016,2.132984592,1.870723555
Csa08g055560,35.20881289,41.29503084,21.87451169,26.43603788,24.69284921,24.7400122,60.97790576,39.33007712,36.52459444,26.98304839,26.73488392,23.99079965
Csa08g055590,10.3999698,29.69447052,24.07212155,43.06160054,25.44892509,33.00066751,9.857075166,27.07056835,23.74608413,23.51074838,16.55106904,23.93105266
Csa08g055640,16.08518452,19.17490468,16.67076817,25.19106698,23.34026045,22.95645371,13.7819219,25.83615897,31.26614805,39.65219106,34.19823862,33.57083062
Csa08g055650,4.370396995,3.962194971,2.889686007,3.305050448,3.649174785,3.646352107,1.996316077,2.970393943,3.420675059,3.653425427,2.950374635,3.007751189
